store_id,official_address,neighborhood,locality
298,Formosa 565,Caballito,C.A.B.A.
299,Arenales 975,Retiro,C.A.B.A.
300,Deheza 2239,Nuñez,C.A.B.A.
301,Pueyrredon 2464,Recoleta,C.A.B.A.
302,Esmeralda 823,Retiro,C.A.B.A.
303,Talcahuano 841,Recoleta,C.A.B.A.
306,Fray Justo Santa María de Oro 2709,Palermo,C.A.B.A.
307,Av. Las Heras 1936,Recoleta,C.A.B.A.
308,Maipu 171,San Nicolás,C.A.B.A.
309,Campana 3050,Villa del Parque,C.A.B.A.
310,Chivilcoy 3840,Devoto,C.A.B.A.
311,Av. Monroe 2771,Belgrano,C.A.B.A.
312,Cerviño 4634,Palermo,C.A.B.A.
313,Montañeses 2267,Belgrano,C.A.B.A.
314,Segurola 2344,Villa del Parque,C.A.B.A.
315,Jose Pedro Varela 3191,Villa del Parque,C.A.B.A.
316,Av. Cnel.Ramon L.Falcon 2402,Flores,C.A.B.A.
317,Doctor Tomas Manuel de Anchorena 1253,Palermo,C.A.B.A.
318,Arroyo 859,Retiro,C.A.B.A.
320,Mariscal Antonio Jose Sucre 2490,Belgrano,C.A.B.A.
322,Del Carril 3210,Villa del Parque,C.A.B.A.
323,Montes de Oca 304,Barracas,C.A.B.A.
324,Av. Directorio 1766,Parque Chacabuco,C.A.B.A.
325,Vidal 2355,Belgrano,C.A.B.A.
326,Alvarez Jonte 4872,Monte castro,C.A.B.A.
327,Av. Las Heras 2643,Recoleta,C.A.B.A.
328,Godoy Cruz 2793,Palermo,C.A.B.A.
329,Lavalle 1747,San Nicolás,C.A.B.A.
331,Charcas 3171,Palermo,C.A.B.A.
332,Billinghurst 1380,Palermo,C.A.B.A.
334,Paraguay 521,Retiro,C.A.B.A.
335,Cuba 2776,Belgrano,C.A.B.A.
336,Charcas 3315 II,Palermo,C.A.B.A.
337,Av. Federico Lacroze 2566,Belgrano,C.A.B.A.
338,Tucuman 831,San Nicolás,C.A.B.A.
339,Av. Los Incas 4466,Villa Ortuzar,C.A.B.A.
341,Viamonte 352,San Nicolás,C.A.B.A.
343,Amenabar 1187,Belgrano,C.A.B.A.
344,Marcelo Torcuato de Alvear 2251,Recoleta,C.A.B.A.
346,Suarez 1599,Barracas,C.A.B.A.
347,Pacheco de Melo 2648,Recoleta,C.A.B.A.
348,Av. Rivadavia 3421,Almagro,C.A.B.A.
349,Av. Cabildo 34,Palermo,C.A.B.A.
351,Echeverria 2067,Belgrano,C.A.B.A.
352,Rodriguez Peña 1183,Recoleta,C.A.B.A.
354,Parana 1053,Recoleta,C.A.B.A.
355,Pueyrredon 1054,Once,C.A.B.A.
357,Sarmiento 1592,Congreso,C.A.B.A.
360,Los Incas II 5174,Villa Urquiza,C.A.B.A.
361,Moldes 1720,Belgrano,C.A.B.A.
362,Av. Directorio 1069,Caballito,C.A.B.A.
363,Independencia 1833,San Cristobal,C.A.B.A.
364,Ciudad de la Paz 353,Colegiales,C.A.B.A.
365,Av. Nazca 1944,Santa Rita,C.A.B.A.
367,Av. Estado de Israel 4309,Villa Crespo,C.A.B.A.
368,Cuba 2919 II,Nuñez,C.A.B.A.
369,Caseros 2864,Parque Patricios,C.A.B.A.
370,Av. Juan Bautista Alberdi 371,Caballito,C.A.B.A.
371,Av. Olazabal 5483,Villa Urquiza,C.A.B.A.
